stage,a_id,rater_id,set,stage_outcome
IL,A430,JKiss,disjoint,REVIEW
IL,A351,JKiss,disjoint,REVIEW
IL,A547,JKiss,disjoint,REVIEW
IL,A308,JKiss,disjoint,REVIEW
IL,A323,JKiss,disjoint,REVIEW
IL,A344,JKiss,disjoint,REVIEW
IL,A284,JKiss,disjoint,REVIEW
IL,A502,JKiss,disjoint,REVIEW
IL,A221,JKiss,disjoint,REVIEW
IL,A611,JKiss,disjoint,REVIEW
IL,A558,JKiss,disjoint,REVIEW
IL,A572,JKiss,disjoint,REVIEW
IL,A493,JKiss,disjoint,REVIEW
IL,A452,JVoisin,disjoint,OUT
IL,A348,JVoisin,disjoint,REVIEW
IL,A423,JVoisin,disjoint,REVIEW
IL,A011,JVoisin,disjoint,REVIEW
IL,A615,JVoisin,disjoint,REVIEW
IL,A582,JVoisin,disjoint,REVIEW
IL,A545,JVoisin,disjoint,REVIEW
IL,A583,JVoisin,disjoint,REVIEW
IL,A346,JVoisin,disjoint,REVIEW
IL,A309,JVoisin,disjoint,REVIEW
IL,A584,JVoisin,disjoint,REVIEW
IL,A015,JVoisin,disjoint,REVIEW
IL,A286,JVoisin,disjoint,REVIEW
IL,A760,JVoisin,disjoint,REVIEW
IL,A503,JVoisin,disjoint,REVIEW
IL,A546,JVoisin,disjoint,REVIEW
IL,A158,JVoisin,disjoint,REVIEW
IL,A304,JVoisin,disjoint,REVIEW
IL,A318,JVoisin,disjoint,REVIEW
IL,A607,JVoisin,disjoint,REVIEW
IL,A575,JVoisin,disjoint,REVIEW
IL,A564,JVoisin,disjoint,REVIEW
IL,A568,JVoisin,disjoint,REVIEW
EL,A371,AReyes,overlap,PASS_CLEAN
EL,A371,JKiss,overlap,PASS_CLEAN
EL,A371,JVoisin,overlap,PASS_CLEAN
EL,A546,AReyes,overlap,PASS_CLEAN
EL,A546,JKiss,overlap,PASS_CLEAN
EL,A546,JVoisin,overlap,PASS_CLEAN
EL,A247,AReyes,overlap,PASS_CLEAN
EL,A247,JKiss,overlap,PASS_CLEAN
EL,A247,JVoisin,overlap,PASS_CLEAN
EL,A351,AReyes,overlap,PASS_CLEAN
EL,A351,JKiss,overlap,PASS_CLEAN
EL,A351,JVoisin,overlap,PASS_CLEAN
EL,A545,AReyes,overlap,PASS_CLEAN
EL,A545,JKiss,overlap,PASS_CLEAN
EL,A545,JVoisin,overlap,PASS_CLEAN
EL,A423,AReyes,overlap,PASS_CLEAN
EL,A423,JKiss,overlap,PASS_CLEAN
EL,A423,JVoisin,overlap,PASS_CLEAN
EL,A558,AReyes,overlap,PASS_CLEAN
EL,A558,JKiss,overlap,PASS_CLEAN
EL,A558,JVoisin,overlap,PASS_CLEAN
EL,A311,AReyes,overlap,PASS_CLEAN
EL,A311,JKiss,overlap,PASS_CLEAN
EL,A311,JVoisin,overlap,PASS_CLEAN
EL,A455,AReyes,overlap,PASS_CLEAN
EL,A455,JKiss,overlap,PASS_CLEAN
EL,A455,JVoisin,overlap,PASS_CLEAN
EL,A452,AReyes,overlap,PASS_CLEAN
EL,A452,JKiss,overlap,PASS_CLEAN
EL,A452,JVoisin,overlap,PASS_CLEAN
EL,A349,AReyes,overlap,PASS_CLEAN
EL,A349,JKiss,overlap,PASS_CLEAN
EL,A349,JVoisin,overlap,PASS_CLEAN
EL,A571,AReyes,overlap,PASS_CLEAN
EL,A571,JKiss,overlap,PASS_CLEAN
EL,A571,JVoisin,overlap,PASS_CLEAN
EL,A582,AReyes,overlap,PASS_CLEAN
EL,A582,JKiss,overlap,PASS_CLEAN
EL,A582,JVoisin,overlap,PASS_CLEAN
EL,A611,AReyes,overlap,PASS_CLEAN
EL,A611,JKiss,overlap,PASS_CLEAN
EL,A611,JVoisin,overlap,PASS_CLEAN
EL,A301,AReyes,overlap,PASS_FLAGGED
EL,A301,JKiss,overlap,PASS_FLAGGED
EL,A301,JVoisin,overlap,PASS_FLAGGED
EL,A499,AReyes,disjoint,OUT
EL,A575,AReyes,disjoint,PASS_CLEAN
EL,A322,AReyes,disjoint,PASS_CLEAN
EL,A324,AReyes,disjoint,PASS_CLEAN
EL,A636,AReyes,disjoint,PASS_CLEAN
EL,A502,AReyes,disjoint,PASS_CLEAN
EL,A013,AReyes,disjoint,PASS_CLEAN
EL,A331,AReyes,disjoint,PASS_CLEAN
EL,A022,AReyes,disjoint,PASS_CLEAN
EL,A615,AReyes,disjoint,PASS_CLEAN
EL,A326,AReyes,disjoint,PASS_CLEAN
EL,A304,AReyes,disjoint,PASS_CLEAN
EL,A430,AReyes,disjoint,PASS_CLEAN
EL,A346,AReyes,disjoint,PASS_CLEAN
EL,A493,AReyes,disjoint,PASS_CLEAN
EL,A642,AReyes,disjoint,PASS_CLEAN
EL,A369,AReyes,disjoint,PASS_CLEAN
EL,A613,AReyes,disjoint,PASS_CLEAN
EL,A569,AReyes,disjoint,PASS_CLEAN
EL,A309,AReyes,disjoint,PASS_CLEAN
EL,A359,AReyes,disjoint,PASS_CLEAN
EL,A310,AReyes,disjoint,PASS_CLEAN
EL,A286,AReyes,disjoint,PASS_FLAGGED
EL,A328,AReyes,disjoint,PASS_FLAGGED
EL,A564,JKiss,disjoint,PASS_CLEAN
EL,A344,JKiss,disjoint,PASS_CLEAN
EL,A607,JKiss,disjoint,PASS_CLEAN
EL,A570,JKiss,disjoint,PASS_CLEAN
EL,A572,JKiss,disjoint,PASS_CLEAN
EL,A561,JKiss,disjoint,PASS_CLEAN
EL,A312,JKiss,disjoint,PASS_CLEAN
EL,A581,JKiss,disjoint,PASS_CLEAN
EL,A158,JKiss,disjoint,PASS_CLEAN
EL,A253,JKiss,disjoint,PASS_CLEAN
EL,A584,JKiss,disjoint,PASS_CLEAN
EL,A009,JKiss,disjoint,PASS_CLEAN
EL,A622,JKiss,disjoint,PASS_CLEAN
EL,A372,JKiss,disjoint,PASS_CLEAN
EL,A544,JKiss,disjoint,PASS_CLEAN
EL,A011,JKiss,disjoint,PASS_CLEAN
EL,A760,JKiss,disjoint,PASS_CLEAN
EL,A757,JKiss,disjoint,PASS_CLEAN
EL,A307,JKiss,disjoint,PASS_CLEAN
EL,A318,JKiss,disjoint,PASS_CLEAN
EL,A395,JKiss,disjoint,PASS_CLEAN
EL,A303,JKiss,disjoint,PASS_FLAGGED
EL,A284,JKiss,disjoint,PASS_FLAGGED
EL,A221,JVoisin,disjoint,PASS_CLEAN
EL,A573,JVoisin,disjoint,PASS_CLEAN
EL,A323,JVoisin,disjoint,PASS_CLEAN
EL,A560,JVoisin,disjoint,PASS_CLEAN
EL,A610,JVoisin,disjoint,PASS_CLEAN
EL,A332,JVoisin,disjoint,PASS_CLEAN
EL,A568,JVoisin,disjoint,PASS_CLEAN
EL,A338,JVoisin,disjoint,PASS_CLEAN
EL,A503,JVoisin,disjoint,PASS_CLEAN
EL,A547,JVoisin,disjoint,PASS_CLEAN
EL,A612,JVoisin,disjoint,PASS_CLEAN
EL,A616,JVoisin,disjoint,PASS_CLEAN
EL,A583,JVoisin,disjoint,PASS_CLEAN
EL,A542,JVoisin,disjoint,PASS_CLEAN
EL,A308,JVoisin,disjoint,PASS_CLEAN
EL,A447,JVoisin,disjoint,PASS_CLEAN
EL,A347,JVoisin,disjoint,PASS_CLEAN
EL,A016,JVoisin,disjoint,PASS_CLEAN
EL,A614,JVoisin,disjoint,PASS_CLEAN
EL,A348,JVoisin,disjoint,PASS_CLEAN
EL,A015,JVoisin,disjoint,PASS_CLEAN
EL,A345,JVoisin,disjoint,PASS_FLAGGED
EL,A290,JVoisin,disjoint,PASS_FLAGGED
